split,file,bucket,candidate,source_input,baseline_pred,candidate_pred,target,review_pack,notes
scut115,17.jpg,union_selected_candidate,exact129_lam16_union_gate,data-links/samples/SCUT-EnsExam/test/all_images/17.jpg,outputs/scut_test115_second_stage_baseline_20260705/pred/17.png,outputs/eval_scut115_exact129_outside_edit_lam16_union_gate_20260706/pred/17.png,data-links/samples/SCUT-EnsExam/test/all_labels/17.jpg,outputs/analysis_visible_delta_union_scut115_20260706,candidate selected by current two-box union gate; label page-level win/loss
scut115,156.jpg,union_selected_candidate,exact129_lam16_union_gate,data-links/samples/SCUT-EnsExam/test/all_images/156.jpg,outputs/scut_test115_second_stage_baseline_20260705/pred/156.png,outputs/eval_scut115_exact129_outside_edit_lam16_union_gate_20260706/pred/156.png,data-links/samples/SCUT-EnsExam/test/all_labels/156.jpg,outputs/analysis_visible_delta_union_scut115_20260706,candidate selected by current two-box union gate; label page-level win/loss
scut115,303.jpg,union_selected_candidate,exact129_lam16_union_gate,data-links/samples/SCUT-EnsExam/test/all_images/303.jpg,outputs/scut_test115_second_stage_baseline_20260705/pred/303.png,outputs/eval_scut115_exact129_outside_edit_lam16_union_gate_20260706/pred/303.png,data-links/samples/SCUT-EnsExam/test/all_labels/303.jpg,outputs/analysis_visible_delta_union_scut115_20260706,candidate selected by current two-box union gate; label page-level win/loss
scut115,370.jpg,union_selected_candidate,exact129_lam16_union_gate,data-links/samples/SCUT-EnsExam/test/all_images/370.jpg,outputs/scut_test115_second_stage_baseline_20260705/pred/370.png,outputs/eval_scut115_exact129_outside_edit_lam16_union_gate_20260706/pred/370.png,data-links/samples/SCUT-EnsExam/test/all_labels/370.jpg,outputs/analysis_visible_delta_union_scut115_20260706,candidate selected by current two-box union gate; label page-level win/loss
scut115,371.jpg,union_selected_candidate,exact129_lam16_union_gate,data-links/samples/SCUT-EnsExam/test/all_images/371.jpg,outputs/scut_test115_second_stage_baseline_20260705/pred/371.png,outputs/eval_scut115_exact129_outside_edit_lam16_union_gate_20260706/pred/371.png,data-links/samples/SCUT-EnsExam/test/all_labels/371.jpg,outputs/analysis_visible_delta_union_scut115_20260706,candidate selected by current two-box union gate; label page-level win/loss
holdout40,466.jpg,union_selected_candidate,exact129_lam16_union_gate,data-links/samples/SCUT-EnsExam/train/all_images/466.jpg,outputs/holdout40_second_stage_readiness_20260705/pred/466.png,outputs/eval_holdout40_exact129_outside_edit_lam16_union_gate_20260706/pred/466.png,data-links/samples/SCUT-EnsExam/train/all_labels/466.jpg,outputs/analysis_visible_delta_union_holdout40_20260706,candidate selected by current two-box union gate; label page-level win/loss
scut115,156.jpg,visible_delta_mixed,exact129_lam16_union_gate,data-links/samples/SCUT-EnsExam/test/all_images/156.jpg,outputs/scut_test115_second_stage_baseline_20260705/pred/156.png,outputs/eval_scut115_exact129_outside_edit_lam16_union_gate_20260706/pred/156.png,data-links/samples/SCUT-EnsExam/test/all_labels/156.jpg,outputs/analysis_visible_delta_union_scut115_20260706,visible-delta improve_area=304 regress_area=37
scut115,17.jpg,visible_delta_mixed,exact129_lam16_union_gate,data-links/samples/SCUT-EnsExam/test/all_images/17.jpg,outputs/scut_test115_second_stage_baseline_20260705/pred/17.png,outputs/eval_scut115_exact129_outside_edit_lam16_union_gate_20260706/pred/17.png,data-links/samples/SCUT-EnsExam/test/all_labels/17.jpg,outputs/analysis_visible_delta_union_scut115_20260706,visible-delta improve_area=154 regress_area=85
scut115,303.jpg,visible_delta_regress_only,exact129_lam16_union_gate,data-links/samples/SCUT-EnsExam/test/all_images/303.jpg,outputs/scut_test115_second_stage_baseline_20260705/pred/303.png,outputs/eval_scut115_exact129_outside_edit_lam16_union_gate_20260706/pred/303.png,data-links/samples/SCUT-EnsExam/test/all_labels/303.jpg,outputs/analysis_visible_delta_union_scut115_20260706,visible-delta improve_area=0 regress_area=27
scut115,370.jpg,visible_delta_regress_only,exact129_lam16_union_gate,data-links/samples/SCUT-EnsExam/test/all_images/370.jpg,outputs/scut_test115_second_stage_baseline_20260705/pred/370.png,outputs/eval_scut115_exact129_outside_edit_lam16_union_gate_20260706/pred/370.png,data-links/samples/SCUT-EnsExam/test/all_labels/370.jpg,outputs/analysis_visible_delta_union_scut115_20260706,visible-delta improve_area=0 regress_area=32
holdout40,466.jpg,visible_delta_mixed,exact129_lam16_union_gate,data-links/samples/SCUT-EnsExam/train/all_images/466.jpg,outputs/holdout40_second_stage_readiness_20260705/pred/466.png,outputs/eval_holdout40_exact129_outside_edit_lam16_union_gate_20260706/pred/466.png,data-links/samples/SCUT-EnsExam/train/all_labels/466.jpg,outputs/analysis_visible_delta_union_holdout40_20260706,visible-delta improve_area=501 regress_area=249
train160,166.jpg,selector_false_positive_overerase_risk,exact129_lam16_relaxed_interval_rejected,data-links/samples/SCUT-EnsExam/train/all_images/166.jpg,outputs/scut_train160_nonholdout_second_stage_baseline_20260706/pred/166.png,outputs/eval_scut_train160_nonholdout_exact129_outside_edit_lam16_interval_relaxed_gate_20260706/candidate/166.png,data-links/samples/SCUT-EnsExam/train/all_labels/166.jpg,outputs/eval_scut_train160_nonholdout_exact129_outside_edit_lam16_interval_relaxed_gate_20260706,relaxed interval selected this page and increased train160 aggregate overerase; review as selector false positive
train160,190.jpg,selector_false_positive_overerase_risk,exact129_lam16_relaxed_interval_rejected,data-links/samples/SCUT-EnsExam/train/all_images/190.jpg,outputs/scut_train160_nonholdout_second_stage_baseline_20260706/pred/190.png,outputs/eval_scut_train160_nonholdout_exact129_outside_edit_lam16_interval_relaxed_gate_20260706/candidate/190.png,data-links/samples/SCUT-EnsExam/train/all_labels/190.jpg,outputs/eval_scut_train160_nonholdout_exact129_outside_edit_lam16_interval_relaxed_gate_20260706,relaxed interval selected this page and increased train160 aggregate overerase; review as selector false positive
train160,192.jpg,selector_false_positive_overerase_risk,exact129_lam16_relaxed_interval_rejected,data-links/samples/SCUT-EnsExam/train/all_images/192.jpg,outputs/scut_train160_nonholdout_second_stage_baseline_20260706/pred/192.png,outputs/eval_scut_train160_nonholdout_exact129_outside_edit_lam16_interval_relaxed_gate_20260706/candidate/192.png,data-links/samples/SCUT-EnsExam/train/all_labels/192.jpg,outputs/eval_scut_train160_nonholdout_exact129_outside_edit_lam16_interval_relaxed_gate_20260706,relaxed interval selected this page and increased train160 aggregate overerase; review as selector false positive
next120,282.jpg,coverage_negative_noop,exact129_lam16_union_gate,data-links/samples/SCUT-EnsExam/train/all_images/282.jpg,outputs/scut_next120_nonoverlap_second_stage_baseline_20260706/pred/282.png,outputs/eval_scut_next120_nonoverlap_exact129_outside_edit_lam16_union_gate_20260706/pred/282.png,data-links/samples/SCUT-EnsExam/train/all_labels/282.jpg,outputs/eval_scut_next120_nonoverlap_exact129_outside_edit_lam16_union_gate_20260706,union gate selected baseline on next120; review whether this page represents missed coverage or acceptable no-op
next120,273.jpg,coverage_negative_noop,exact129_lam16_union_gate,data-links/samples/SCUT-EnsExam/train/all_images/273.jpg,outputs/scut_next120_nonoverlap_second_stage_baseline_20260706/pred/273.png,outputs/eval_scut_next120_nonoverlap_exact129_outside_edit_lam16_union_gate_20260706/pred/273.png,data-links/samples/SCUT-EnsExam/train/all_labels/273.jpg,outputs/eval_scut_next120_nonoverlap_exact129_outside_edit_lam16_union_gate_20260706,union gate selected baseline on next120; review whether this page represents missed coverage or acceptable no-op
next120,374.jpg,coverage_negative_noop,exact129_lam16_union_gate,data-links/samples/SCUT-EnsExam/train/all_images/374.jpg,outputs/scut_next120_nonoverlap_second_stage_baseline_20260706/pred/374.png,outputs/eval_scut_next120_nonoverlap_exact129_outside_edit_lam16_union_gate_20260706/pred/374.png,data-links/samples/SCUT-EnsExam/train/all_labels/374.jpg,outputs/eval_scut_next120_nonoverlap_exact129_outside_edit_lam16_union_gate_20260706,union gate selected baseline on next120; review whether this page represents missed coverage or acceptable no-op
next120,389.jpg,coverage_negative_noop,exact129_lam16_union_gate,data-links/samples/SCUT-EnsExam/train/all_images/389.jpg,outputs/scut_next120_nonoverlap_second_stage_baseline_20260706/pred/389.png,outputs/eval_scut_next120_nonoverlap_exact129_outside_edit_lam16_union_gate_20260706/pred/389.png,data-links/samples/SCUT-EnsExam/train/all_labels/389.jpg,outputs/eval_scut_next120_nonoverlap_exact129_outside_edit_lam16_union_gate_20260706,union gate selected baseline on next120; review whether this page represents missed coverage or acceptable no-op
next120,362.jpg,coverage_negative_noop,exact129_lam16_union_gate,data-links/samples/SCUT-EnsExam/train/all_images/362.jpg,outputs/scut_next120_nonoverlap_second_stage_baseline_20260706/pred/362.png,outputs/eval_scut_next120_nonoverlap_exact129_outside_edit_lam16_union_gate_20260706/pred/362.png,data-links/samples/SCUT-EnsExam/train/all_labels/362.jpg,outputs/eval_scut_next120_nonoverlap_exact129_outside_edit_lam16_union_gate_20260706,union gate selected baseline on next120; review whether this page represents missed coverage or acceptable no-op
next120,392.jpg,coverage_negative_noop,exact129_lam16_union_gate,data-links/samples/SCUT-EnsExam/train/all_images/392.jpg,outputs/scut_next120_nonoverlap_second_stage_baseline_20260706/pred/392.png,outputs/eval_scut_next120_nonoverlap_exact129_outside_edit_lam16_union_gate_20260706/pred/392.png,data-links/samples/SCUT-EnsExam/train/all_labels/392.jpg,outputs/eval_scut_next120_nonoverlap_exact129_outside_edit_lam16_union_gate_20260706,union gate selected baseline on next120; review whether this page represents missed coverage or acceptable no-op
next120,283.jpg,coverage_negative_noop,exact129_lam16_union_gate,data-links/samples/SCUT-EnsExam/train/all_images/283.jpg,outputs/scut_next120_nonoverlap_second_stage_baseline_20260706/pred/283.png,outputs/eval_scut_next120_nonoverlap_exact129_outside_edit_lam16_union_gate_20260706/pred/283.png,data-links/samples/SCUT-EnsExam/train/all_labels/283.jpg,outputs/eval_scut_next120_nonoverlap_exact129_outside_edit_lam16_union_gate_20260706,union gate selected baseline on next120; review whether this page represents missed coverage or acceptable no-op
next120,274.jpg,coverage_negative_noop,exact129_lam16_union_gate,data-links/samples/SCUT-EnsExam/train/all_images/274.jpg,outputs/scut_next120_nonoverlap_second_stage_baseline_20260706/pred/274.png,outputs/eval_scut_next120_nonoverlap_exact129_outside_edit_lam16_union_gate_20260706/pred/274.png,data-links/samples/SCUT-EnsExam/train/all_labels/274.jpg,outputs/eval_scut_next120_nonoverlap_exact129_outside_edit_lam16_union_gate_20260706,union gate selected baseline on next120; review whether this page represents missed coverage or acceptable no-op
next120,281.jpg,coverage_negative_noop,exact129_lam16_union_gate,data-links/samples/SCUT-EnsExam/train/all_images/281.jpg,outputs/scut_next120_nonoverlap_second_stage_baseline_20260706/pred/281.png,outputs/eval_scut_next120_nonoverlap_exact129_outside_edit_lam16_union_gate_20260706/pred/281.png,data-links/samples/SCUT-EnsExam/train/all_labels/281.jpg,outputs/eval_scut_next120_nonoverlap_exact129_outside_edit_lam16_union_gate_20260706,union gate selected baseline on next120; review whether this page represents missed coverage or acceptable no-op
next120,275.jpg,coverage_negative_noop,exact129_lam16_union_gate,data-links/samples/SCUT-EnsExam/train/all_images/275.jpg,outputs/scut_next120_nonoverlap_second_stage_baseline_20260706/pred/275.png,outputs/eval_scut_next120_nonoverlap_exact129_outside_edit_lam16_union_gate_20260706/pred/275.png,data-links/samples/SCUT-EnsExam/train/all_labels/275.jpg,outputs/eval_scut_next120_nonoverlap_exact129_outside_edit_lam16_union_gate_20260706,union gate selected baseline on next120; review whether this page represents missed coverage or acceptable no-op
scut115,249.jpg,correction_fluid_white_patch,whiteout_inpaint_d10_g215_a120,/Volumes/Tool/source/clean-doc/samples/SCUT-EnsExam/test/all_images/249.jpg,/Volumes/Tool/source/clean-doc/outputs/second_stage_script_scut_test115_20260705/pred/249.png,/Volumes/Tool/source/clean-doc/outputs/whiteout_repair_probe_scut_test115_20260705/d10_g215_a120/pred/249.png,/Volumes/Tool/source/clean-doc/samples/SCUT-EnsExam/test/all_labels/249.jpg,/Volumes/Tool/source/clean-doc/outputs/whiteout_repair_probe_scut_test115_20260705/d10_g215_a120/review_pack/quads/02_249.jpg,historical whiteout repair sample with strong metric gain; review paper-tone continuity and naturalness
scut115,41.jpg,correction_fluid_white_patch,whiteout_inpaint_d10_g215_a120,/Volumes/Tool/source/clean-doc/samples/SCUT-EnsExam/test/all_images/41.jpg,/Volumes/Tool/source/clean-doc/outputs/second_stage_script_scut_test115_20260705/pred/41.png,/Volumes/Tool/source/clean-doc/outputs/whiteout_repair_probe_scut_test115_20260705/d10_g215_a120/pred/41.png,/Volumes/Tool/source/clean-doc/samples/SCUT-EnsExam/test/all_labels/41.jpg,/Volumes/Tool/source/clean-doc/outputs/whiteout_repair_probe_scut_test115_20260705/d10_g215_a120/review_pack/quads/03_41.jpg,historical whiteout repair sample with strong metric gain; review whether repaired patch looks dirtier than baseline white patch
scut115,239.jpg,correction_fluid_white_patch,whiteout_inpaint_d10_g215_a120,/Volumes/Tool/source/clean-doc/samples/SCUT-EnsExam/test/all_images/239.jpg,/Volumes/Tool/source/clean-doc/outputs/second_stage_script_scut_test115_20260705/pred/239.png,/Volumes/Tool/source/clean-doc/outputs/whiteout_repair_probe_scut_test115_20260705/d10_g215_a120/pred/239.png,/Volumes/Tool/source/clean-doc/samples/SCUT-EnsExam/test/all_labels/239.jpg,/Volumes/Tool/source/clean-doc/outputs/whiteout_repair_probe_scut_test115_20260705/d10_g215_a120/review_pack/quads/04_239.jpg,historical whiteout repair sample with strong metric gain; compare local patch naturalness against target
scut115,43.jpg,correction_fluid_white_patch,whiteout_inpaint_d10_g215_a120,/Volumes/Tool/source/clean-doc/samples/SCUT-EnsExam/test/all_images/43.jpg,/Volumes/Tool/source/clean-doc/outputs/second_stage_script_scut_test115_20260705/pred/43.png,/Volumes/Tool/source/clean-doc/outputs/whiteout_repair_probe_scut_test115_20260705/d10_g215_a120/pred/43.png,/Volumes/Tool/source/clean-doc/samples/SCUT-EnsExam/test/all_labels/43.jpg,/Volumes/Tool/source/clean-doc/outputs/whiteout_repair_probe_scut_test115_20260705/d10_g215_a120/review_pack/quads/13_43.jpg,historical whiteout repair weak/negative sample; candidate has slightly negative metric gain and should behave like a visual reject anchor
scut115,397.jpg,correction_fluid_white_patch,whiteout_inpaint_d10_g215_a120,/Volumes/Tool/source/clean-doc/samples/SCUT-EnsExam/test/all_images/397.jpg,/Volumes/Tool/source/clean-doc/outputs/second_stage_script_scut_test115_20260705/pred/397.png,/Volumes/Tool/source/clean-doc/outputs/whiteout_repair_probe_scut_test115_20260705/d10_g215_a120/pred/397.png,/Volumes/Tool/source/clean-doc/samples/SCUT-EnsExam/test/all_labels/397.jpg,/Volumes/Tool/source/clean-doc/outputs/whiteout_repair_probe_scut_test115_20260705/d10_g215_a120/review_pack/quads/14_397.jpg,historical whiteout repair zero-gain sample; use as correction-fluid no-benefit anchor
scut115,37.jpg,correction_fluid_white_patch,whiteout_inpaint_d10_g215_a120,/Volumes/Tool/source/clean-doc/samples/SCUT-EnsExam/test/all_images/37.jpg,/Volumes/Tool/source/clean-doc/outputs/second_stage_script_scut_test115_20260705/pred/37.png,/Volumes/Tool/source/clean-doc/outputs/whiteout_repair_probe_scut_test115_20260705/d10_g215_a120/pred/37.png,/Volumes/Tool/source/clean-doc/samples/SCUT-EnsExam/test/all_labels/37.jpg,/Volumes/Tool/source/clean-doc/outputs/whiteout_repair_probe_scut_test115_20260705/d10_g215_a120/review_pack/quads/15_37.jpg,historical whiteout repair zero-gain sample; use as correction-fluid no-benefit anchor
